10672	29b	A	SDUSD 10672	Transportation - Info 	Schools 
10864	2a7	A	SDUSD TrnEMR	Transportation EMERGENCY 	Schools 
11056	2b3	A	SDUSD S&T	Safety and Training 	Schools 
11152	2b9	A	SDUSD 2H	Maintenance 	Schools 
11248	2bf	A	SDUSD PD TC1	Police Tac 1 	Schools 
11344	2c5	A	SDUSD PD TC2	Police Tac 2 	Schools 
12528	30f	A	SDCCD PD Disp 1	Police Dispatch 1 	Law Dispatch 
12560	311	A	SDCCD PD Disp 2	Police Dispatch 2 	Law Dispatch 
12624	315	A	SDCCD PD Tac 1	Police Tactical 1 	Law Tac 
12656	317	A	SDCCD PD Tac 2	Police Tactical 2 	Law Tac 
12688	319	A	SDCCD PD Tac 3	Police Tactical 3 	Law Tac 
2960	0b9	A	SDMA 10	Mutual Aid 10 (Fire 7O) 	Interop 
2992	0bb	A	SDMA 20	Mutual Aid 20 (Fire 8O) 	Interop 
3024	0bd	A	SDMA 30	Mutual Aid 30 (Fire 9O) 	Interop 


49520	c17	D	NTF 2D	Narcotics Task Force 2D 	Law Tac 
49648	c1f	D	SWAT 2D	SWAT 2D 	Law Tac 
49712	c23	DE	CIU 2D	Criminal Intelligence Unit 2D (Encrypted) 	Law Tac 
49776	c27	D	ROBBERY 3D	Robbery 3D 	Law Tac 
49808	c29	D	ROBBERY 4D	Robbery 4D 	Law Tac 
49872	c2d	D	VICE 3D	Vice 3D 	Law Tac 
49968	c33	D	VICE 4D	Vice 4D 	Law Tac 
49984	c34	D	INV TAC 14D	INV Tac 14D 	Law Tac 
50000	c35	D	INV TAC 15D	INV Tac 15D 	Law Tac 
50032	c37	D	INV TAC 16D	INV Tac 16D 	Law Tac 
50064	c39	D	INV TAC 17D	INV Tac 17D 	Law Tac 
50096	c3b	D	INV TAC 18D	INV Tac 18D 	Law Tac 
50256	c45	D	INV TAC 23D	INV Tac 23D 	Law Tac 
